"Date","State","Sector","Mode","Installed Capacity"
"20-07-2019","Rajasthan","PVT SECTOR","RES","7627.82"
"20-07-2019","Rajasthan","CENTRAL SECTOR","Thermal","669.33"
"20-07-2019","Rajasthan","CENTRAL SECTOR","Nuclear","1180"
"20-07-2019","Rajasthan","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Rajasthan","CENTRAL SECTOR","RES","344"
"20-07-2019","Sikkim","STATE SECTOR","Thermal","0"
"20-07-2019","Sikkim","STATE SECTOR","Nuclear","0"
"20-07-2019","Sikkim","STATE SECTOR","Hydro","1200"
"20-07-2019","Sikkim","STATE SECTOR","RES","52.11"
"20-07-2019","Sikkim","PVT SECTOR","Thermal","0"
"20-07-2019","Sikkim","PVT SECTOR","Nuclear","0"
"20-07-2019","Sikkim","PVT SECTOR","Hydro","399"
"20-07-2019","Sikkim","PVT SECTOR","RES","0.01"
"20-07-2019","Sikkim","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Sikkim","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Sikkim","CENTRAL SECTOR","Hydro","570"
"20-07-2019","Sikkim","CENTRAL SECTOR","RES","0"
"20-07-2019","Tamil Nadu","STATE SECTOR","Thermal","4844.08"
"20-07-2019","Tamil Nadu","STATE SECTOR","Nuclear","0"
"20-07-2019","Tamil Nadu","STATE SECTOR","Hydro","2178.2"
"20-07-2019","Tamil Nadu","STATE SECTOR","RES","122.7"
"20-07-2019","Tamil Nadu","PVT SECTOR","Thermal","3664.801"
"20-07-2019","Tamil Nadu","PVT SECTOR","Nuclear","0"
"20-07-2019","Tamil Nadu","PVT SECTOR","Hydro","0"
"20-07-2019","Tamil Nadu","PVT SECTOR","RES","12762.75"
"20-07-2019","Tamil Nadu","CENTRAL SECTOR","Thermal","5390"
"20-07-2019","Tamil Nadu","CENTRAL SECTOR","Nuclear","2440"
"20-07-2019","Tamil Nadu","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Tamil Nadu","CENTRAL SECTOR","RES","231.9"
"20-07-2019","Telangana","STATE SECTOR","Thermal","4582.5"
"20-07-2019","Telangana","STATE SECTOR","Nuclear","0"
"20-07-2019","Telangana","STATE SECTOR","Hydro","2405.6"
"20-07-2019","Telangana","STATE SECTOR","RES","41.22"
"20-07-2019","Telangana","PVT SECTOR","Thermal","0"
"20-07-2019","Telangana","PVT SECTOR","Nuclear","0"
"20-07-2019","Telangana","PVT SECTOR","Hydro","0"
"20-07-2019","Telangana","PVT SECTOR","RES","3965.1"
"20-07-2019","Telangana","CENTRAL SECTOR","Thermal","2600"
"20-07-2019","Telangana","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Telangana","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Telangana","CENTRAL SECTOR","RES","10"
"20-07-2019","Tripura","STATE SECTOR","Thermal","169.5"
"20-07-2019","Tripura","STATE SECTOR","Nuclear","0"
"20-07-2019","Tripura","STATE SECTOR","Hydro","0"
"20-07-2019","Tripura","STATE SECTOR","RES","16.01"
"20-07-2019","Tripura","PVT SECTOR","Thermal","0"
"20-07-2019","Tripura","PVT SECTOR","Nuclear","0"
"20-07-2019","Tripura","PVT SECTOR","Hydro","0"
"20-07-2019","Tripura","PVT SECTOR","RES","4.41"
"20-07-2019","Tripura","CENTRAL SECTOR","Thermal","962.6"
"20-07-2019","Tripura","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Tripura","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Tripura","CENTRAL SECTOR","RES","5"
"20-07-2019","Uttar Pradesh","STATE SECTOR","Thermal","5469"
"20-07-2019","Uttar Pradesh","STATE SECTOR","Nuclear","0"
"20-07-2019","Uttar Pradesh","STATE SECTOR","Hydro","501.6"
"20-07-2019","Uttar Pradesh","STATE SECTOR","RES","25.1"
"20-07-2019","Uttar Pradesh","PVT SECTOR","Thermal","6810"
"20-07-2019","Uttar Pradesh","PVT SECTOR","Nuclear","0"
"20-07-2019","Uttar Pradesh","PVT SECTOR","Hydro","0"
"20-07-2019","Uttar Pradesh","PVT SECTOR","RES","2972.6"
"20-07-2019","Uttar Pradesh","CENTRAL SECTOR","Thermal","10963.14"
"20-07-2019","Uttar Pradesh","CENTRAL SECTOR","Nuclear","440"
"20-07-2019","Uttar Pradesh","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Uttar Pradesh","CENTRAL SECTOR","RES","30"
"20-07-2019","Uttarakhand","STATE SECTOR","Thermal","0"
"20-07-2019","Uttarakhand","STATE SECTOR","Nuclear","0"
"20-07-2019","Uttarakhand","STATE SECTOR","Hydro","1252.15"
"20-07-2019","Uttarakhand","STATE SECTOR","RES","67.87"
"20-07-2019","Uttarakhand","PVT SECTOR","Thermal","450"
"20-07-2019","Uttarakhand","PVT SECTOR","Nuclear","0"
"20-07-2019","Uttarakhand","PVT SECTOR","Hydro","730"
"20-07-2019","Uttarakhand","PVT SECTOR","RES","532.11"
"20-07-2019","Uttarakhand","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Uttarakhand","CENTRAL SECTOR","Nuclear","0"
